Date,Bitcoin Market Cap
2014-10-07,22.192209968626962
2014-10-08,22.23217070581744
2014-10-09,22.294820335915272
2014-10-10,22.288133843121898
2014-10-11,22.278098668656437
2014-10-12,22.298939856298418
2014-10-13,22.334834923415006
2014-10-14,22.390448146954007
2014-10-15,22.3704321917668
2014-10-16,22.345391713256838
2014-10-17,22.336854730525218
2014-10-18,22.35662304098649
2014-10-19,22.35867161093419
2014-10-20,22.344570125821633
2014-10-21,22.35067843328018
2014-10-22,22.344628510159474
2014-10-23,22.30083363961844
2014-10-24,22.27977406799967
2014-10-25,22.25547011070905
2014-10-26,22.274132341664146
2014-10-27,22.26886181927373
2014-10-28,22.274210658125376
2014-10-29,22.242800897193565
2014-10-30,22.234752377436983
2014-10-31,22.237079448585355
2014-11-01,22.198051033679615
2014-11-02,22.193871248161074
2014-11-03,22.200633811510556
2014-11-04,22.193518934005525
2014-11-05,22.224508316918385
2014-11-06,22.243379860449604
2014-11-07,22.253015131643068
2014-11-08,22.246967566258196
2014-11-09,22.27979761886119
2014-11-10,22.321065613842016
2014-11-11,22.314963595243587
2014-11-12,22.38715998680577
2014-11-13,22.46390530484098
2014-11-14,22.390232938696958
2014-11-15,22.35763988119572
2014-11-16,22.36036128866752
2014-11-17,22.392201593185675
2014-11-18,22.347017210496563
2014-11-19,22.349019100052338
2014-11-20,22.307445368348354
2014-11-21,22.271186406444627
2014-11-22,22.29151629287883
2014-11-23,22.302080129824176
2014-11-24,22.345154526362553
2014-11-25,22.35905315458537
2014-11-26,22.326075462944374
2014-11-27,22.32416637266933
2014-11-28,22.323201162475062
2014-11-29,22.351083632310644
2014-11-30,22.345061570199704
2014-12-01,22.354641400400457
2014-12-02,22.35604670544779
2014-12-03,22.34262735730237
2014-12-04,22.32837527403265
2014-12-05,22.326290287027387
2014-12-06,22.333405858843967
2014-12-07,22.334484025348434
2014-12-08,22.313219212892086
2014-12-09,22.269670736103713
2014-12-10,22.264416446064644
2014-12-11,22.2713617378516
2014-12-12,22.2689249327677
2014-12-13,22.26278852015241
2014-12-14,22.257826219993564
2014-12-15,22.251580613387777
2014-12-16,22.21655062267557
2014-12-17,22.19024804390115
2014-12-18,22.16647564940714
2014-12-19,22.168508582605206
2014-12-20,22.204727915677914
2014-12-21,22.193020545795374
2014-12-22,22.212713143057066
2014-12-23,22.225429430903105
2014-12-24,22.213607482738656
2014-12-25,22.18887199853839
2014-12-26,22.2021705636954
2014-12-27,22.183968172946848
2014-12-28,22.17405249454178
2014-12-29,22.174302370418683
2014-12-30,22.167008245555596
2014-12-31,22.168297456167114
2015-01-01,22.179064906942145
2015-01-02,22.175443609121366
2015-01-03,22.128954786733885
2015-01-04,22.04823996202263
2015-01-05,22.03315222971722
2015-01-06,22.051528984800665
2015-01-07,22.098803440280825
2015-01-08,22.090497444071357
2015-01-09,22.079393781219384
2015-01-10,22.051603775578602
2015-01-11,22.026119171601195
2015-01-12,22.016073570180062
2015-01-13,21.902782735897112
2015-01-14,21.700023993152712
2015-01-15,21.743946998457062
2015-01-16,21.769752537949447
2015-01-17,21.729545719571245
2015-01-18,21.758800154066044
2015-01-19,21.779151059611273
2015-01-20,21.775498004955775
2015-01-21,21.79944160137519
2015-01-22,21.865688035546363
2015-01-23,21.857479997370813
2015-01-24,21.89028532189389
2015-01-25,21.93623495690064
2015-01-26,22.04800106853039
2015-01-27,21.96890304080584
2015-01-28,21.922031006047465
2015-01-29,21.850441043454634
2015-01-30,21.85903657401729
2015-01-31,21.843045504873075
2015-02-01,21.810018732855053
2015-02-02,21.844434657432316
2015-02-03,21.88423993098681
2015-02-04,21.8435603859468
2015-02-05,21.834176551658597
2015-02-06,21.823226091367005
2015-02-07,21.84569191540527
2015-02-08,21.844856346548134
2015-02-09,21.828740788582973
2015-02-10,21.82052262667412
2015-02-11,21.82604373905378
2015-02-12,21.82008626853039
2015-02-13,21.87535979632563
2015-02-14,21.93665693101278
2015-02-15,21.9561987616212
2015-02-16,21.890257031151833
2015-02-17,21.90849016818633
2015-02-18,21.901361219194833
2015-02-19,21.901015123256524
2015-02-20,21.9129292052845
2015-02-21,21.914144727825892
2015-02-22,21.899690063894234
2015-02-23,21.881359391617366
2015-02-24,21.88795580601353
2015-02-25,21.887920978427598
2015-02-26,21.885101547700785
2015-02-27,21.94947108593462
2015-02-28,21.95553857457758
2015-03-01,21.951824959921034
2015-03-02,21.997091788855684
2015-03-03,22.03967702957899
2015-03-04,22.062387266471024
2015-03-05,22.034042144253018
2015-03-06,22.043284266371387
2015-03-07,22.05053852523105
2015-03-08,22.05488614799044
2015-03-09,22.085663263752497
2015-03-10,22.118883565587346
2015-03-11,22.12112808037349
2015-03-12,22.12462397649839
2015-03-13,22.111918413788572
