Date,Ethereum Hashrate,Ethereum Mining Prob,Ethereum No. of Transactions,Ethereum Avg. Transaction Fee
2017-05-06,30.82619964103737,-2.198225077669803,11.46177952814607,-2.5182566294695543
2017-05-07,30.84432553951319,-2.1803674602697964,11.577129555192014,-2.388142981355692
2017-05-08,30.828955318402834,-2.234926444520231,11.674270205377727,-2.631089159966082
2017-05-09,30.8738210239451,-2.320749063621717,11.63455000149371,-2.5383074265151158
2017-05-10,30.863808690888437,-2.2730262907525014,11.605258490171767,-2.4877105771207346
2017-05-11,30.881209018310575,-2.2926347621408776,11.671543295064948,-2.5108400318145048
2017-05-12,30.915510206767085,-2.3065931143915845,11.582833917185196,-2.4135166537013273
2017-05-13,30.891092229388533,-2.3309845675157437,11.526157533738946,-2.403511011584006
2017-05-14,30.92252878787813,-2.3708639337473403,11.526315418088988,-2.3827111374733305
2017-05-15,30.956589576350137,-2.3740810946991155,11.718247145993244,-2.339249077365637
2017-05-16,30.97140301707037,-2.396895772465287,11.66428081292377,-2.2633643798407643
2017-05-17,30.918069169570742,-2.3936044913812142,11.85036152268092,-2.0024805005437076
2017-05-18,30.953896452715554,-2.3413259213104762,11.830717158808618,-2.24431618487007
2017-05-19,30.992032561307095,-2.1892564076870427,11.992681385658642,-2.120263536200091
2017-05-20,31.019033038236994,-2.0955709236097197,11.782280620729125,-1.9105430052180221
2017-05-21,31.04872437663501,-2.0635681925235456,11.916381890358688,-1.9449106487222299
2017-05-22,31.07724843275008,-1.8773173575897015,12.079687089066455,-1.7778565640590636
2017-05-23,31.040029763373607,-1.8451602459551701,12.139510745407954,-1.5050778971098575
2017-05-24,31.064368637106043,-1.731605546408308,12.140429514535706,-1.305636458102436
2017-05-25,31.06939371526032,-1.6928195213731514,12.117296075139327,-1.4610179073158271
2017-05-26,31.071559079528633,-1.783791299578878,12.042482554308169,-1.5371172508544744
2017-05-27,31.101334520528706,-1.995100393246085,11.914717167712084,-1.7092582477163114
2017-05-28,31.094854756905274,-1.870802676568508,11.952927256348628,-1.5702171992808192
2017-05-29,31.157926821982475,-1.8578992717326,11.973806358311604,-1.5371172508544744
2017-05-30,31.221847982544066,-1.7372712839439852,12.173642424709298,-1.0700248318161971
2017-05-31,31.195092015114824,-1.6502599069543555,12.27431990578481,-0.40047756659712525
2017-06-01,31.24864044593128,-1.7544636844843582,12.201863800756119,-1.2552660987134867
2017-06-02,31.222706367225147,-1.7719568419318752,12.18029832310261,-1.0996127890016931
2017-06-03,31.252575857375454,-1.7957674906255938,12.076214498271947,-1.248273063222516
2017-06-04,31.27834273827581,-1.7544636844843582,12.101467400139496,-1.0817551716016867
2017-06-05,31.302027908151434,-1.725971728690052,12.156383327242809,-1.258781040820931
2017-06-06,31.31561223927791,-1.7092582477163114,12.208684232366661,-1.0817551716016867
2017-06-07,31.355936663165302,-1.725971728690052,12.241343259612092,-1.05268335677971
2017-06-08,31.364627358893753,-1.7544636844843582,12.1426002225746,-1.1177951080848836
2017-06-09,31.362976203076265,-1.7092582477163114,12.282250973018472,-1.1744140020843916
2017-06-10,31.413843706629397,-1.6347557204183902,12.270717411023613,-1.2039728043259361
2017-06-11,31.43824306203021,-1.5324768712979722,12.390433787621898,-0.8141855089370014
2017-06-12,31.436978781119905,-1.4312917270506265,12.5877265025348,-0.44161055474451766
2017-06-13,31.470948048946408,-1.422958345491482,12.542737720699696,-0.9038682118755978
2017-06-14,31.49493748669242,-1.4828052615007343,12.430563289108044,-0.9675840262617056
2017-06-15,31.513035550289853,-1.6398971199188088,12.474636881163246,-1.0555527992076628
2017-06-16,31.53024046285849,-1.584745299843729,12.421196121848148,-1.016111067156366
2017-06-17,31.56257161045505,-1.5945492999403497,12.396783910097751,-1.0412872220488403
2017-06-18,31.582181557839764,-1.5896352851379207,12.4129120028878,-0.9888614247089905
2017-06-19,31.593182375042137,-1.6094379124341003,12.564477592150936,-1.0384583658483626
2017-06-20,31.612844756455775,-1.6660082639224947,12.639208042368685,-0.17197526473981037
2017-06-21,31.621822783640447,-1.7660917224794772,12.307224818522677,0.31772619380015765
2017-06-22,31.633596907094997,-1.7957674906255938,12.557521456997307,-0.2484613592984996
2017-06-23,31.626221069833797,-1.7957674906255938,12.528199622015004,-0.583396316600826
2017-06-24,31.650886444847774,-1.8325814637483102,12.431493601588423,-0.20089294237939007
2017-06-25,31.663375457741537,-1.9310215365615626,12.350757234384064,-0.6367668471238376
2017-06-26,31.698629982517765,-2.0635681925235456,12.66598805941711,-0.3285040669720361
2017-06-27,31.696982975467865,-2.162823150618887,12.44112500466852,-1.1363141558521213
2017-06-28,31.724332662899073,-1.9805015938249322,12.521762560825977,-0.2033409240180301
